DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2025,ES,479,ES53,1,725.26426,1,3,1
2025,ES,480,ES53,1,928.62333,1,3,1
2025,ES,481,ES53,1,1390.41613,1,3,1
2025,ES,483,ES53,1,374.45256,1,1,1
2025,ES,484,ES53,1,175.45597,1,1,1
2025,ES,485,ES53,1,111.25961,1,1,1
2025,ES,486,ES53,1,733.51979,1,1,1
2025,ES,487,ES53,1,193.34281,1,1,1
2025,ES,488,ES53,1,282.62423,1,1,1
2025,ES,489,ES53,1,301.72281,1,1,1
2025,ES,490,ES53,1,1405.18359,1,1,1
2025,ES,491,ES53,1,997.31517,1,1,1
2025,ES,492,ES53,1,288.14434,1,1,1
2025,ES,493,ES53,1,316.98982,1,1,1
2025,ES,494,ES53,1,709.51886,1,1,1
2025,ES,495,ES53,1,683.03505,1,1,1
2025,ES,496,ES53,1,563.00857,1,1,1
2025,ES,497,ES53,1,1051.53025,1,1,1
2025,ES,498,ES53,1,418.17629,1,1,1
2025,ES,499,ES53,1,131.13438,1,1,1
2025,ES,500,ES53,1,995.20936,1,1,1
2025,ES,501,ES53,1,442.45767,1,1,1
2025,ES,502,ES53,1,60.29381,1,1,1
2025,ES,504,ES53,1,912.56665,1,1,1
2025,ES,505,ES53,1,612.65081,1,1,1
2025,ES,506,ES53,1,901.74492,1,1,1
2025,ES,507,ES53,1,449.37191,1,1,1
2025,ES,508,ES53,1,669.23520,1,1,1
2025,ES,509,ES53,1,527.37890,1,1,1
2025,ES,510,ES53,1,593.32968,1,1,1
2025,ES,511,ES53,1,1034.51311,1,1,1
2025,ES,513,ES53,1,733.51979,1,1,1
2025,ES,514,ES53,1,1499.62496,1,1,1
2025,ES,515,ES53,1,543.42432,1,1,1
2025,ES,516,ES53,1,260.91102,1,1,1
2025,ES,517,ES53,1,836.18010,1,1,1
2025,ES,518,ES53,1,388.75504,1,1,1
2025,ES,519,ES53,1,721.82894,1,1,1
2025,ES,520,ES53,1,419.41582,1,1,1
2025,ES,522,ES51,1,219.80347,1,1,1
2025,ES,523,ES53,1,539.99759,1,2,1
2025,ES,524,ES53,1,2060.18958,1,2,1
2025,ES,525,ES53,1,673.84178,1,2,1
2025,ES,526,ES53,1,785.15672,1,2,1
2025,ES,527,ES53,1,697.99831,1,2,1
2025,ES,528,ES53,1,397.42527,1,2,1
2025,ES,530,ES53,1,183.86566,1,2,1
2025,ES,531,ES53,1,532.20693,1,2,1
2025,ES,532,ES53,1,710.13188,1,2,1
2025,ES,533,ES53,1,407.25095,1,2,1
2025,ES,535,ES53,1,1350.71333,1,2,1
2025,ES,536,ES53,1,446.45183,1,2,1
2025,ES,537,ES53,1,347.96900,1,2,1
2025,ES,538,ES53,1,2428.65483,1,2,1
2025,ES,539,ES53,1,1117.36715,1,2,1
2025,ES,540,ES53,1,1035.23753,1,2,1
2025,ES,541,ES53,1,877.91965,1,2,1
2025,ES,542,ES53,1,56.32495,1,2,1
2025,ES,544,ES53,1,252.58286,1,2,1
2025,ES,545,ES53,1,436.43052,1,2,1
2025,ES,546,ES53,1,492.96252,1,2,1
2025,ES,547,ES12,1,541.27979,1,2,1
2025,ES,548,ES53,1,556.48152,1,2,1
2025,ES,549,ES53,1,636.19820,1,2,1
2025,ES,550,ES53,1,207.97922,1,2,1
2025,ES,551,ES53,1,1275.35928,1,2,1
